Student_ID,Mid_Sem_Marks,End_Sem_Marks,Internal_Marks
23103100,6.0,43,27
23103101,19.0,33,65
23103102,28.0,9,41
23103103,14.0,35,44
23103104,10.0,13,61
23103105,7.0,30,56
23103106,28.0,47,5
23103107,20.0,14,27
23103108,6.0,7,27
23103109,25.0,13,43
23103110,,22,83
23103111,,39,29
23103112,,20,61
23103113,,15,74
23103114,,44,91
23103115,,17,88
23103116,3.0,46,61
23103117,7.0,23,96
23103118,23.0,25,0
23103119,2.0,24,26
23103120,21.0,55,61
23103121,20.0,40,105
23103122,error,28,2
23103123,23.0,unknown,69
23103124,11.0,44,71
23103125,29.0,0,26
23103126,5.0,24,8
23103127,1.0,6,61
23103128,27.0,8,36
23103129,20.0,23,96
23103130,0.0,0,50
23103131,11.0,43,43
23103132,25.0,7,23
23103133,21.0,23,78
23103134,28.0,10,58
23103135,11.0,50,31
23103136,24.0,16,95
23103137,16.0,7,87
23103138,26.0,34,51
23103139,26.0,34,61
23103140,30.0,32,57
23103141,9.0,4,51
23103142,27.0,41,11
23103143,27.0,38,38
23103144,15.0,40,1
23103145,14.0,27,2
23103146,29.0,6,100
23103147,29.0,8,55
23103148,14.0,7,80
23103149,29.0,11,58
23103150,18.0,33,1
23103151,11.0,32,1
23103152,22.0,47,91
23103153,19.0,22,53
23103154,24.0,23,86
23103155,2.0,36,100
23103156,4.0,34,95
23103157,18.0,43,96
23103158,6.0,39,0
23103159,20.0,21,18
23103160,8.0,26,1
23103161,6.0,34,52
23103162,17.0,0,43
23103163,3.0,34,89
23103164,24.0,36,31
23103165,27.0,46,69
23103166,13.0,13,31
23103167,17.0,2,67
23103168,25.0,0,54
23103169,8.0,4,74
23103170,25.0,25,55
23103171,20.0,13,16
23103172,1.0,38,37
23103173,19.0,26,23
23103174,27.0,8,68
23103175,14.0,14,97
23103176,27.0,14,69
23103177,6.0,25,85
23103178,11.0,41,10
23103179,28.0,12,15
23103180,7.0,50,96
23103181,14.0,31,72
23103182,2.0,38,58
23103183,13.0,48,69
23103184,16.0,31,79
23103185,3.0,3,92
23103186,17.0,29,2
23103187,7.0,36,19
23103188,3.0,22,58
23103189,1.0,38,35
23103190,29.0,44,18
23103191,5.0,14,89
23103192,21.0,42,66
23103193,9.0,28,18
23103194,3.0,35,19
23103195,21.0,12,95
23103196,28.0,31,70
23103197,30.0,6,51
23103198,17.0,50,32
23103199,25.0,21,39
23103100,6.0,43,27
23103101,19.0,33,65
23103102,28.0,9,41
23103103,14.0,35,44
23103104,10.0,13,61
