Student_ID,Mid_Sem_Marks,End_Sem_Marks,Internal_Marks
23103100,26.0,32.0,10.0
23103101,11.0,41.0,4.0
23103102,30.0,32.0,11.0
23103103,16.0,41.0,10.0
23103104,1.0,21.0,20.0
23103105,8.0,9.0,19.0
23103106,1.0,2.0,20.0
23103107,23.0,7.0,11.0
23103108,29.0,3.0,14.0
23103109,8.0,50.0,8.0
23103110,17.0,15.0,9.0
23103111,30.0,41.0,20.0
23103112,15.0,25.0,2.0
23103113,22.0,50.0,10.0
23103114,13.0,44.0,13.0
23103115,29.0,21.0,12.0
23103116,24.0,50.0,13.0
23103117,8.0,41.0,15.0
23103118,29.0,15.0,9.0
23103119,2.0,47.0,0.0
23103120,30.0,23.0,18.0
23103121,17.0,37.0,3.0
23103122,30.0,8.0,11.0
23103123,21.0,3.0,14.0
23103124,21.0,9.0,18.0
23103125,11.0,15.0,0.0
23103126,19.0,37.0,20.0
23103127,11.0,50.0,7.0
23103129,19.1123595505618,50.0,6.0
23103130,16.0,27.434782608695652,16.0
23103131,30.0,24.0,13.0
23103132,18.0,37.0,18.0
23103133,30.0,50.0,4.0
23103134,19.0,41.0,4.0
23103135,30.0,24.0,0.0
23103136,12.0,33.0,12.0
23103137,19.0,3.0,1.0
23103138,19.1123595505618,19.0,10.0
23103139,21.0,9.0,12.225806451612904
23103140,30.0,49.0,20.0
23103141,2.0,7.0,20.0
23103142,5.0,24.0,13.0
23103143,12.0,10.0,19.0
23103144,0.0,35.0,1.0
23103145,23.0,50.0,19.0
23103146,30.0,24.0,9.0
23103147,11.0,6.0,12.0
23103148,28.0,16.0,5.0
23103149,5.0,38.0,20.0
23103150,28.0,18.0,0.0
23103151,17.0,5.0,13.0
23103152,8.0,48.0,20.0
23103153,30.0,22.0,6.0
23103154,30.0,27.434782608695652,20.0
23103155,5.0,50.0,1.0
23103156,19.0,50.0,9.0
23103157,15.0,49.0,15.0
23103158,18.0,7.0,16.0
23103159,27.0,50.0,16.0
23103160,30.0,25.0,16.0
23103161,14.0,31.0,4.0
23103162,20.0,34.0,9.0
23103163,21.0,8.0,20.0
23103164,14.0,18.0,7.0
23103165,3.0,15.0,1.0
23103166,14.0,20.0,9.0
23103167,5.0,50.0,5.0
23103168,28.0,7.0,18.0
23103169,30.0,13.0,20.0
23103170,10.0,15.0,1.0
23103171,4.0,10.0,11.0
23103172,19.0,2.0,14.0
23103173,19.0,27.434782608695652,9.0
23103174,5.0,50.0,12.0
23103175,19.1123595505618,50.0,17.0
23103176,30.0,24.0,20.0
23103177,18.0,2.0,2.0
23103179,11.0,30.0,8.0
23103181,29.0,14.0,20.0
23103182,25.0,3.0,20.0
23103183,27.0,33.0,8.0
23103184,30.0,50.0,5.0
23103185,23.0,7.0,6.0
23103186,19.1123595505618,0.0,15.0
23103187,29.0,23.0,13.0
23103188,19.0,12.0,20.0
23103189,19.1123595505618,43.0,8.0
23103190,13.0,16.0,13.0
23103191,19.1123595505618,33.0,20.0
23103192,29.0,26.0,12.225806451612904
23103194,28.0,34.0,16.0
23103196,17.0,50.0,9.0
23103197,19.0,15.0,17.0
23103198,11.0,15.0,8.0
23103199,30.0,50.0,11.0
